Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,Cluster
Jian Michael Wu,Jian Michael Wu,,4,Source; Target,4,4,4,0.410256,0.53125,0,64,5,1,6,0.038558,5
Aldrich Ellis C. Asuncion,Aldrich Ellis C. Asuncion,,2,Source,2,2,2,0.666667,0.75,0,25,27,1,1,0.007032,27
Naomi Mendaros,Naomi Mendaros,,4,; Target,4,4,4,0.380952,0.5,0,64,5,1,6,0.028726,5
Paolo Tensuan,Paolo Tensuan,,1,Source,1,1,1,1,1,0,80,77,0,0,0.001684,79
Emmanuel Jon A.Â Magdaluyo,Emmanuel Jon A.Â Magdaluyo,,3,Source,3,3,1,1,1,0,44,63,1,3,0.011623,39
Briane Paul V. Samson,Briane Paul V. Samson,,4,Source,4,4,1,1,1,0,51,8,1,6,0.023356,26
Miguel Galace,Miguel Galace,,2,Source; Target,2,2,1,1,1,0,57,78,1,1,0.00512,60
Celine Villafuerte,Celine Villafuerte,,4,Source; Target,4,4,1,1,1,0,76,79,1,6,0.023356,32
Amiel John B. Atienza,Amiel John B. Atienza,,4,Source,4,4,2,0.7,0.785714,0,63,17,1,6,0.02896,13
Juan Miguel Ninobla,Juan Miguel Ninobla,,5,Source; Target,5,5,1,1,1,0,78,10,1,10,0.043825,17
John Sixto G. Santos,John Sixto G. Santos,,4,; Target,4,4,1,1,1,0,16,37,1,6,0.023356,33
Jaime DL Caro,Jaime DL Caro,,8,Source; Target,8,8,1,1,1,0.000115,50,13,0.464286,13,0.064103,11
Albuen Jan Rosello,Albuen Jan Rosello,,1,Source,1,1,1,1,1,0,7,23,0,0,0.001684,69
Jedidiah Caychingco,Jedidiah Caychingco,,1,Source,1,1,3,0.410256,0.447917,0,64,5,0,0,0.013923,5
Charles Kevin Verdad,Charles Kevin Verdad,,2,Source; Target,2,2,2,0.666667,0.75,0,42,69,1,1,0.007032,31
Jun Rangie Obispo,Jun Rangie Obispo,,2,Source; Target,2,2,1,1,1,0,52,32,1,1,0.00512,55
Catherine Mae PeÃ±a,Catherine Mae PeÃ±a,,4,Source; Target,4,4,4,0.410256,0.53125,0,64,5,1,6,0.038558,5
Vileser T. Naculangga,Vileser T. Naculangga,,4,Source; Target,4,4,1,1,1,0,92,52,1,6,0.023356,29
Maria Art Antonette Clariâ€‹Ã±â€‹o,Maria Art Antonette Clariâ€‹Ã±â€‹o,,5,Source; Target,5,5,1,1,1,0,13,33,1,10,0.043825,21
Glen Charles Lopez,Glen Charles Lopez,,2,Source,2,2,1,1,1,0,52,32,1,1,0.00512,55
Jaderick P. Pabico,Jaderick P. Pabico,,1,; Target,1,1,1,1,1,0,69,80,0,0,0.001684,80
Natalie Agustin,Natalie Agustin,,1,Source,1,1,4,0.3,0.347222,0,24,29,0,0,0.004669,4
