Source,Target,Weight
David Jonathan L. Relacion,Trisha Regine P. Wang,1
David Joseph Catemprate,Ronald Pascual,1
Dea Ferrer,Danny C. Cheng,1
Dea Ferrer,Fernito Llanita,1
Dea Ferrer,Miguel Mercado,1
Deanne Erika Buena,Allison Mae Yu,1
Deanne Erika Buena,Celine Villafuerte,1
Deanne Erika Buena,Clarissa Mae Garcia,1
Deion C. Menor,Andrei D. Coronel,1
Deion C. Menor,Cher T. Panlilio,1
Deion C. Menor,Lourdes J. Santiago,1
Denise Alyssa A. Francisco,Henry N. Adorna,1
Denise Alyssa A. Francisco,Richelle Ann B. Juayon,1
Dewey L. Sia,Michelle P. Banawan,1
Dewey L. Sia,Zuleika A. Yee,1
Diane Manzano,Samantha Jade Sadural,1
Dion Alfonso Velasco,John Cliford Rosales,1
Dion Alfonso Velasco,Kennedy E. Espina,1
Dion Alfonso Velasco,Ma. Regina Estuar,1
Dionne Peter P. Cailipan,Francis George C. Cabarle,1
Dionne Peter P. Cailipan,Henry N. Adorna,1
Dionne Peter P. Cailipan,Jym Paul A. Carandang,1
Dionne Peter P. Cailipan,Kelvin Buño,1
Dionne Peter P. Cailipan,Nestine Hope S. Hernandez,1
Dollen Lour Huang,Bruce Elmer Peralta,1
Dollen Lour Huang,Ethel Ong,1
Dollen Lour Huang,Sahnir Yap,1
Drew Dolot,Ava Marie Villareal,1
Drew Dolot,Dewi Retnoningsih,1
Drew Dolot,Jay Chester Usero,1
Drew Dolot,John Meynard Sanchez,1
Earl Jay F. Ledesma,Marie Yvette B. de Robles,1
Edgar Bryan B. Nicart,Ruji P. Medina,1
Edgar Bryan B. Nicart,Tony Y. T. Chan,1
Edward Tighe,Merlin Teodosia C. Suarez,1
Edward Tighe,Rhia Trogo,1
Elijah Joshua Cayabyab,Cedric Festin,1
Elijah Joshua Cayabyab,Jonathan Danao,1
Eloisa Anne B. Gervasio,Ravi D. Militar,1
Eloisa Anne B. Gervasio,and Jerome Ibanez,1
Emilio Angelo D. Alindogan,Febrev F. Dela Cruz,1
Emilio Angelo D. Alindogan,Jerry Y. Hom,1
Emilio Angelo D. Alindogan,Ma. Christina R. Aragon,1
Emilio Angelo D. Alindogan,Mark Lorenz F. Eustaquio,1
Emilio Angelo D. Alindogan,Melissa P. Juanillo,1
Emmanuel Asuncion Jr.,Aaron Jan Baldomar,1
